"rnaseq_profile_id","sampling_region","sources"
502832592,"Mouse VISp - L1","VIS"
502832594,"Mouse VISp - L1","VIS"
502832596,"Mouse VISp - L1","VIS"
502832598,"Mouse VISp - L1","VIS"
502832600,"Mouse VISp - L1","VIS"
502832602,"Mouse VISp - L1","VIS"
502832604,"Mouse VISp - L1","VIS"
502832606,"Mouse VISp - L1","VIS"
502832608,"Mouse VISp - L1","VIS"
502832610,"Mouse VISp - L1","VIS"
502832614,"Mouse VISp - L1","VIS"
502832617,"Mouse VISp - L1","VIS"
502832620,"Mouse VISp - L1","VIS"
502832623,"Mouse VISp - L1","VIS"
502832626,"Mouse VISp - L1","VIS"
502832628,"Mouse VISp - L1","VIS"
502832631,"Mouse VISp - L1","VIS"
502832633,"Mouse VISp - L1","VIS"
502832635,"Mouse VISp - L1","VIS"
502832637,"Mouse VISp - L1","VIS"
502832640,"Mouse VISp - L1","VIS"
502832643,"Mouse VISp - L1","VIS"
502832645,"Mouse VISp - L1","VIS"
502832647,"Mouse VISp - L1","VIS"
502832651,"Mouse VISp - L1","VIS"
502832655,"Mouse VISp - L1","VIS"
502832660,"Mouse VISp - L1","VIS"
502832663,"Mouse VISp - L1","VIS"
502832665,"Mouse VISp - L1","VIS"
502832668,"Mouse VISp - L1","VIS"
502832670,"Mouse VISp - L1","VIS"
502832672,"Mouse VISp - L1","VIS"
502832676,"Mouse VISp - L6","VIS"
502832678,"Mouse VISp - L6","VIS"
502832680,"Mouse VISp - L6","VIS"
502832684,"Mouse VISp - L6","VIS"
502832690,"Mouse VISp - L6","VIS"
502832693,"Mouse VISp - L6","VIS"
502832695,"Mouse VISp - L6","VIS"
502832697,"Mouse VISp - L6","VIS"
502832701,"Mouse VISp - L5","VIS"
502832703,"Mouse VISp - L5","VIS"
502832705,"Mouse VISp - L5","VIS"
502832707,"Mouse VISp - L5","VIS"
502832709,"Mouse VISp - L5","VIS"
502832711,"Mouse VISp - L5","VIS"
502832713,"Mouse VISp - L5","VIS"
502832715,"Mouse VISp - L5","VIS"
502832717,"Mouse VISp - L5","VIS"
502832719,"Mouse VISp - L5","VIS"
502832725,"Mouse VISp - L5","VIS"
502832727,"Mouse VISp - L5","VIS"
502832731,"Mouse VISp - L5","VIS"
502832735,"Mouse VISp - L5","VIS"
502832740,"Mouse VISp - L5","VIS"
502832743,"Mouse VISp - L5","VIS"
502832745,"Mouse VISp - L5","VIS"
502832748,"Mouse VISp - L5","VIS"
502832750,"Mouse VISp - L5","VIS"
502832752,"Mouse VISp - L5","VIS"
502832756,"Mouse VISp - L5","VIS"
502832758,"Mouse VISp - L5","VIS"
502832760,"Mouse VISp - L5","VIS"
502832764,"Mouse VISp - L6","VIS"
502832769,"Mouse VISp - L6","VIS"
502832773,"Mouse VISp - L6","VIS"
502832776,"Mouse VISp - L6","VIS"
502832778,"Mouse VISp - L6","VIS"
502832781,"Mouse VISp - L6","VIS"
502832783,"Mouse VISp - L6","VIS"
502832785,"Mouse VISp - L6","VIS"
502832788,"Mouse VISp - L6","VIS"
502832791,"Mouse VISp - L6","VIS"
502832794,"Mouse VISp - L6","VIS"
502832798,"Mouse VISp - L6","VIS"
502832801,"Mouse VISp - L6","VIS"
502832803,"Mouse VISp - L6","VIS"
502832805,"Mouse VISp - L6","VIS"
502832807,"Mouse VISp - L6","VIS"
502832809,"Mouse VISp - L6","VIS"
502832811,"Mouse VISp - L6","VIS"
502832813,"Mouse VISp - L6","VIS"
502832815,"Mouse VISp - L6","VIS"
502832817,"Mouse VISp - L6","VIS"
502832819,"Mouse VISp - L6","VIS"
502832821,"Mouse VISp - L6","VIS"
502832823,"Mouse VISp - L6","VIS"
502832841,"Mouse VISp - L4","VIS"
502832843,"Mouse VISp - L4","VIS"
502832845,"Mouse VISp - L4","VIS"
502832847,"Mouse VISp - L4","VIS"
502832851,"Mouse VISp - L4","VIS"
502832854,"Mouse VISp - L4","VIS"
502832858,"Mouse VISp - L4","VIS"
502832860,"Mouse VISp - L4","VIS"
502832863,"Mouse VISp - L4","VIS"
502832867,"Mouse VISp - L4","VIS"
502832869,"Mouse VISp - L4","VIS"
502832871,"Mouse VISp - L4","VIS"
502832873,"Mouse VISp - L4","VIS"
502832875,"Mouse VISp - L4","VIS"
502832877,"Mouse VISp - L4","VIS"
502832879,"Mouse VISp - L4","VIS"
502832881,"Mouse VISp - L2/3","VIS"
502832883,"Mouse VISp - L2/3","VIS"
502832885,"Mouse VISp - L2/3","VIS"
502832887,"Mouse VISp - L2/3","VIS"
502832889,"Mouse VISp - L2/3","VIS"
502832891,"Mouse VISp - L2/3","VIS"
502832893,"Mouse VISp - L2/3","VIS"
502832895,"Mouse VISp - L2/3","VIS"
502832897,"Mouse VISp - L2/3","VIS"
502832899,"Mouse VISp - L2/3","VIS"
502832901,"Mouse VISp - L2/3","VIS"
502832903,"Mouse VISp - L2/3","VIS"
502832905,"Mouse VISp - L2/3","VIS"
502832907,"Mouse VISp - L2/3","VIS"
502832909,"Mouse VISp - L2/3","VIS"
502832911,"Mouse VISp - L2/3","VIS"
502832929,"Mouse VISp - L2/3","VIS"
502832931,"Mouse VISp - L2/3","VIS"
502832933,"Mouse VISp - L2/3","VIS"
502832935,"Mouse VISp - L2/3","VIS"
502832937,"Mouse VISp - L2/3","VIS"
502832939,"Mouse VISp - L2/3","VIS"
502832941,"Mouse VISp - L2/3","VIS"
502832943,"Mouse VISp - L2/3","VIS"
502832945,"Mouse VISp - L2/3","VIS"
502832947,"Mouse VISp - L2/3","VIS"
502832949,"Mouse VISp - L2/3","VIS"
502832951,"Mouse VISp - L2/3","VIS"
502832953,"Mouse VISp - L2/3","VIS"
502832955,"Mouse VISp - L2/3","VIS"
502832957,"Mouse VISp - L2/3","VIS"
502832959,"Mouse VISp - L2/3","VIS"
502832961,"Mouse VISp - L4","VIS"
502832963,"Mouse VISp - L4","VIS"
502832965,"Mouse VISp - L4","VIS"
502832967,"Mouse VISp - L4","VIS"
502832969,"Mouse VISp - L4","VIS"
502832971,"Mouse VISp - L4","VIS"
502832973,"Mouse VISp - L4","VIS"
502832975,"Mouse VISp - L4","VIS"
502832977,"Mouse VISp - L1","VIS"
502832979,"Mouse VISp - L1","VIS"
502832981,"Mouse VISp - L1","VIS"
502832983,"Mouse VISp - L1","VIS"
502832985,"Mouse VISp - L1","VIS"
502832987,"Mouse VISp - L1","VIS"
502832989,"Mouse VISp - L1","VIS"
502832991,"Mouse VISp - L1","VIS"
502832993,"Mouse VISp - L6","VIS"
502832995,"Mouse VISp - L6","VIS"
502832997,"Mouse VISp - L6","VIS"
502832999,"Mouse VISp - L6","VIS"
502833001,"Mouse VISp - L6","VIS"
502833003,"Mouse VISp - L6","VIS"
502833005,"Mouse VISp - L6","VIS"
502833007,"Mouse VISp - L6","VIS"
502833009,"Mouse VISp - L5","VIS"
502833011,"Mouse VISp - L5","VIS"
502833013,"Mouse VISp - L5","VIS"
502833015,"Mouse VISp - L5","VIS"
502833017,"Mouse VISp - L5","VIS"
502833019,"Mouse VISp - L5","VIS"
502833021,"Mouse VISp - L5","VIS"
502833023,"Mouse VISp - L5","VIS"
502833025,"Mouse VISp - L1","VIS"
502833027,"Mouse VISp - L1","VIS"
502833029,"Mouse VISp - L1","VIS"
502833031,"Mouse VISp - L1","VIS"
502833033,"Mouse VISp - L1","VIS"
502833035,"Mouse VISp - L1","VIS"
502833037,"Mouse VISp - L1","VIS"
502833039,"Mouse VISp - L1","VIS"
502833041,"Mouse VISp - L6","VIS"
502833043,"Mouse VISp - L6","VIS"
502833045,"Mouse VISp - L6","VIS"
502833047,"Mouse VISp - L6","VIS"
502833049,"Mouse VISp - L6","VIS"
502833051,"Mouse VISp - L6","VIS"
502833053,"Mouse VISp - L6","VIS"
502833055,"Mouse VISp - L6","VIS"
502833073,"Mouse VISp - L6","VIS"
502833075,"Mouse VISp - L6","VIS"
502833077,"Mouse VISp - L6","VIS"
502833079,"Mouse VISp - L6","VIS"
502833081,"Mouse VISp - L6","VIS"
502833083,"Mouse VISp - L6","VIS"
502833089,"Mouse VISp - L6","VIS"
502833091,"Mouse VISp - L6","VIS"
502833094,"Mouse VISp - L6","VIS"
502833096,"Mouse VISp - L6","VIS"
502833098,"Mouse VISp - L6","VIS"
502833100,"Mouse VISp - L6","VIS"
502833102,"Mouse VISp - L6","VIS"
502833105,"Mouse VISp - L6","VIS"
502833107,"Mouse VISp - L6","VIS"
502833109,"Mouse VISp - L6","VIS"
502833111,"Mouse VISp - L5","VIS"
502833114,"Mouse VISp - L5","VIS"
502833118,"Mouse VISp - L5","VIS"
502833121,"Mouse VISp - L5","VIS"
502833124,"Mouse VISp - L5","VIS"
502833128,"Mouse VISp - L5","VIS"
502833131,"Mouse VISp - L5","VIS"
