"y1","y2","rnaseq_profile_id","sampling_region","sources","kmean_1","kmean_2","kmean_3","kmean_4","kmean_5","kmean_6","kmean_7","kmean_8","kmean_9","kmean_10","kmean_11","kmean_12","kmean_13","kmean_14","kmean_15","kmean_16","kmean_17","kmean_18","kmean_19","kmean_20","louvain_k30"
-14.7683527194729,-5.37378270912899,487202201,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-0.115792017842169,-32.2038248508873,487202203,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,4,7,5,1
-16.1200129500561,8.49004825648679,487202205,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,1,2,9,8,4,5,1,10,5,6,1,9,4,16
-0.160018678497673,-32.3706619202679,487202207,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-15.5727339596958,-8.13892921044765,487202209,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-18.3441995449069,-3.62422461833595,487202211,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,1,2,9,8,2,10,13,2,4,8,16,14,8,19
-13.7923874631981,37.7059084147274,497122137,"Mouse LGN - Core","LG",1,2,1,3,5,4,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
-11.8285999429226,37.2787833476629,497122141,"Mouse LGN - Core","LG",1,1,1,3,3,2,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
-9.44516464088345,40.3551476415787,497122142,"Mouse LGN - Core","LG",1,1,1,3,3,2,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
-14.0018321464211,40.3876704821818,497122143,"Mouse LGN - Core","LG",1,1,1,3,5,4,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
-11.117155260548,40.1319182223429,497122144,"Mouse LGN - Core","LG",1,1,1,3,3,2,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
-13.447183774428,40.955720784199,497122145,"Mouse LGN - Core","LG",1,1,1,3,5,4,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
-13.2112653911123,38.7047877493571,497122146,"Mouse LGN - Core","LG",1,2,1,3,4,6,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
-13.8091730750392,37.9086684039252,497122147,"Mouse LGN - Core","LG",1,2,1,3,5,4,4,4,9,5,5,12,6,12,14,3,7,18,19,17,2
14.9774191809842,15.952059375081,497122148,"Mouse LGN - Core","LG",1,1,1,3,5,4,4,4,9,5,5,12,6,12,14,3,7,18,19,17,4
14.9667169949899,15.9267928519308,497122149,"Mouse LGN - Core","LG",1,1,1,3,5,4,4,4,8,2,2,10,1,4,4,10,4,9,8,10,4
14.9307077155941,15.9747591484481,497122150,"Mouse LGN - Core","LG",1,1,1,3,5,4,4,4,9,5,5,12,6,12,1,6,9,2,11,14,4
8.73417191741805,13.3304901533744,497122151,"Mouse LGN - Core","LG",1,1,1,3,3,2,4,4,5,8,4,1,11,8,7,6,9,2,11,14,4
